name,median,units,distribution,dist_param1,dist_param2,lower_bound,upper_bound
IFNg_50,2.9,nanomolarity,lognormal,1.0647107369924282,0.7,0.7151311954306588,11.760079903849556
k_IL2_sec,3e-05,nanomole/cell/day,lognormal,-10.41431317630212,0.7,7.3979089182481945e-06,0.00012165599900534024
k_IL2_deg,0.2,1/day,lognormal,-1.6094379124341005,0.5,0.07357588823428847,0.5436563656918091
IL2_50_Treg,0.32,nanomolarity,lognormal,-1.1394342831883648,0.5,0.11772142117486155,0.8698501851068945
k_IL10_sec,3e-12,nanomole/cell/day,lognormal,-26.53240882726044,0.7,7.397908918248196e-13,1.2165599900534024e-11
IL10_50,8.0,nanomolarity,lognormal,2.0794415416798357,0.7,1.972775711532852,32.441599734757396
k_CD4_pro,1.0,1/day,lognormal,0.0,0.5,0.36787944117144233,2.718281828459045
k_CD4_death,0.01,1/day,lognormal,-4.605170185988091,0.5,0.0036787944117144234,0.027182818284590453
k_M1_phago,0.33,1/day,lognormal,-1.1086626245216111,0.7,0.08137699810073014,1.3382159890587426
k_apsc_prolif,0.15,1/day,lognormal,-1.8971199848858813,1.0,0.020300292485491905,1.1083584148395975
k_TGFb_Msec,2e-11,nanomole/cell/day,lognormal,-24.635288842374557,0.7,4.931939278832129e-12,8.110399933689348e-11
k_Treg,0.1,1/day,lognormal,-2.3025850929940455,1.0,0.013533528323661271,0.7389056098930651
TGFb_50_Teff,0.14,nanomolarity,lognormal,-1.9661128563728327,0.7,0.03452357495182491,0.5677279953582545
K_Mac_C,2.0,dimensionless,lognormal,0.6931471805599453,1.0,0.2706705664732254,14.7781121978613
